Game,Round,IsSwiss,Player,User,Score,Status
314305,1,swiss,Red,"Kirk Brown",1,LOSE
314305,1,swiss,Blue,"Test Player A",21,WIN
314306,1,swiss,Red,"Test Player A",1,LOSE
314306,1,swiss,Blue,"Kirk Brown",21,WIN
314307,1,swiss,Red,"Rens van der Avoird",1,LOSE
314307,1,swiss,Blue,"Marcel Vlastuin",21,WIN
314308,1,swiss,Red,"Marcel Vlastuin",1,LOSE
314308,1,swiss,Blue,"Rens van der Avoird",21,WIN
314309,1,swiss,Red,"Peter van den Brand",21,WIN
314309,1,swiss,Blue,"Matthijs Tijink",0,TIMEOUT
314310,1,swiss,Red,"Matthijs Tijink",0,TIMEOUT
314310,1,swiss,Blue,"Peter van den Brand",21,WIN
314311,1,swiss,Red,"Marc Oldenhof",21,WIN
314311,1,swiss,Blue,"Mark ter Brugge",1,LOSE
314312,1,swiss,Red,"Mark ter Brugge",1,LOSE
314312,1,swiss,Blue,"Marc Oldenhof",21,WIN
314313,1,swiss,Red,"Nikita Kurgin",21,WIN
314313,1,swiss,Blue,"Jelle van der Drift",1,LOSE
314314,1,swiss,Red,"Jelle van der Drift",1,LOSE
314314,1,swiss,Blue,"Nikita Kurgin",21,WIN
314315,1,swiss,Red,"Bas van der Ven",1,LOSE
314315,1,swiss,Blue,"Marty McScan",21,WIN
314316,1,swiss,Red,"Marty McScan",21,WIN
314316,1,swiss,Blue,"Bas van der Ven",1,LOSE
314317,1,swiss,Red,"Emil Riedeman",1,LOSE
314317,1,swiss,Blue,"Pieter Marsman",21,WIN
314318,1,swiss,Red,"Pieter Marsman",21,WIN
314318,1,swiss,Blue,"Emil Riedeman",1,LOSE
314319,1,swiss,Red,"Tapani Utriainen",21,WIN
314319,1,swiss,Blue,"Maks Verver",1,LOSE
314320,1,swiss,Red,"Maks Verver",1,LOSE
314320,1,swiss,Blue,"Tapani Utriainen",21,WIN
314321,1,swiss,Red,"Louis Verhaard",21,WIN
314321,1,swiss,Blue,"Arco Voets",1,LOSE
314322,1,swiss,Red,"Arco Voets",1,LOSE
314322,1,swiss,Blue,"Louis Verhaard",21,WIN
314323,1,swiss,Red,"Abdessamad El Kasimi",21,WIN
314323,1,swiss,Blue,"Jan Nunnink",1,LOSE
314324,1,swiss,Red,"Jan Nunnink",1,LOSE
314324,1,swiss,Blue,"Abdessamad El Kasimi",21,WIN
314325,1,swiss,Red,"Alvaro Begue",1,LOSE
314325,1,swiss,Blue,"Alan Ansell",21,WIN
314326,1,swiss,Red,"Alan Ansell",21,WIN
314326,1,swiss,Blue,"Alvaro Begue",1,LOSE
314327,1,swiss,Red,"Akhil Konduru",1,LOSE
314327,1,swiss,Blue,"Jelle van Cappelle",21,WIN
314328,1,swiss,Red,"Jelle van Cappelle",21,WIN
314328,1,swiss,Blue,"Akhil Konduru",1,LOSE
314329,1,swiss,Red,"Niklas Een",21,WIN
314329,1,swiss,Blue,"Jorik Mandemaker",1,LOSE
314330,1,swiss,Red,"Jorik Mandemaker",21,WIN
314330,1,swiss,Blue,"Niklas Een",1,LOSE
314331,1,swiss,Red,"Rhythmay Girdhar",1,LOSE
314331,1,swiss,Blue,"Fakih Karademir",21,WIN
314332,1,swiss,Red,"Fakih Karademir",21,WIN
314332,1,swiss,Blue,"Rhythmay Girdhar",1,LOSE
314333,2,swiss,Red,"Peter van den Brand",1,LOSE
314333,2,swiss,Blue,"Marc Oldenhof",21,WIN
